time,value,parameter_id,station_id
1981-01-01 00:00,0.6,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,10.7,9,160
1981-01-01 00:00,0.9,9,160
1981-01-01 00:00,13.3,9,160
1981-01-01 00:00,0.9,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,20.9,9,160
1981-01-01 00:00,32.5,9,160
1981-01-01 00:00,59.6,9,160
1981-01-01 00:00,1.4,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,5,9,160
1981-01-01 00:00,6.6,9,160
1981-01-01 00:00,0.9,9,160
1981-01-01 00:00,0.2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,1.4,9,160
1981-01-01 00:00,24.3,9,160
1981-01-01 00:00,23.9,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,28.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,15.4,9,160
1981-01-01 00:00,7.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,4.2,9,160
1981-01-01 00:00,12,9,160
1981-01-01 00:00,0.6,9,160
1981-01-01 00:00,7.1,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,24.9,9,160
1981-01-01 00:00,1.1,9,160
1981-01-01 00:00,1.4,9,160
1981-01-01 00:00,1.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,2.2,9,160
1981-01-01 00:00,0.3,9,160
1981-01-01 00:00,2.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,3.2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,1.9,9,160
1981-01-01 00:00,6.6,9,160
1981-01-01 00:00,11.6,9,160
1981-01-01 00:00,0.2,9,160
1981-01-01 00:00,2.3,9,160
1981-01-01 00:00,50.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,7.9,9,160
1981-01-01 00:00,0.2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,48.5,9,160
1981-01-01 00:00,5.5,9,160
1981-01-01 00:00,0.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,2.9,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,9.1,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,6.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,4.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.6,9,160
1981-01-01 00:00,10.1,9,160
1981-01-01 00:00,37.2,9,160
1981-01-01 00:00,1.4,9,160
1981-01-01 00:00,4.9,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,5.5,9,160
1981-01-01 00:00,1.9,9,160
1981-01-01 00:00,9.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,21.9,9,160
1981-01-01 00:00,8.1,9,160
1981-01-01 00:00,3.8,9,160
1981-01-01 00:00,43.6,9,160
1981-01-01 00:00,16,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,5.1,9,160
1981-01-01 00:00,5.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,1.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,21.3,9,160
1981-01-01 00:00,68.6,9,160
1981-01-01 00:00,10.3,9,160
1981-01-01 00:00,0.2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.6,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,1.1,9,160
1981-01-01 00:00,6.5,9,160
1981-01-01 00:00,0.4,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.1,9,160
1981-01-01 00:00,10.3,9,160
1981-01-01 00:00,7.8,9,160
1981-01-01 00:00,10.9,9,160
1981-01-01 00:00,9.2,9,160
1981-01-01 00:00,54,9,160
1981-01-01 00:00,3.4,9,160
1981-01-01 00:00,1,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,29.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.4,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.8,9,160
1981-01-01 00:00,10.7,9,160
1981-01-01 00:00,12.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,2.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,3,9,160
1981-01-01 00:00,5.8,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,6,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,3.2,9,160
1981-01-01 00:00,13.1,9,160
1981-01-01 00:00,5.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,2.1,9,160
1981-01-01 00:00,2.9,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.1,9,160
1981-01-01 00:00,4.8,9,160
1981-01-01 00:00,12.3,9,160
1981-01-01 00:00,8.2,9,160
1981-01-01 00:00,5.3,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,3.4,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.3,9,160
1981-01-01 00:00,3.4,9,160
1981-01-01 00:00,5.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,16.5,9,160
1981-01-01 00:00,20.5,9,160
1981-01-01 00:00,8.2,9,160
1981-01-01 00:00,2.6,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,7.9,9,160
1981-01-01 00:00,23.6,9,160
1981-01-01 00:00,0.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,30.5,9,160
1981-01-01 00:00,3.1,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,15.1,9,160
1981-01-01 00:00,0.5,9,160
1981-01-01 00:00,0.4,9,160
1981-01-01 00:00,54.5,9,160
1981-01-01 00:00,64.7,9,160
1981-01-01 00:00,25.4,9,160
1981-01-01 00:00,5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,1.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.7,9,160
1981-01-01 00:00,20.8,9,160
1981-01-01 00:00,3.2,9,160
1981-01-01 00:00,2.7,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,27.1,9,160
1981-01-01 00:00,5.2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,4.7,9,160
1981-01-01 00:00,16.2,9,160
1981-01-01 00:00,5.4,9,160
1981-01-01 00:00,31.8,9,160
1981-01-01 00:00,5.6,9,160
1981-01-01 00:00,19,9,160
1981-01-01 00:00,19,9,160
1981-01-01 00:00,17.5,9,160
1981-01-01 00:00,3.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,3.5,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,6.8,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,8.1,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0.4,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,3.2,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,0,9,160
1981-01-01 00:00,6.4,9,160
1981-01-01 00:00,4.5,9,160
1981-01-01 00:00,0,9,160
